Transform(Location(x=-55.677811, y=13.654146, z=10.046844), Rotation(pitch=-0.967858, yaw=179.809540, roll=0.013157))
Transform(Location(x=-76.143097, y=13.706120, z=9.692775), Rotation(pitch=-0.984708, yaw=179.911407, roll=0.083928))
Transform(Location(x=-96.675148, y=13.724313, z=9.308082), Rotation(pitch=-1.059232, yaw=-179.841461, roll=0.016612))
Transform(Location(x=-117.162964, y=13.669044, z=8.896048), Rotation(pitch=-1.720859, yaw=-179.639709, roll=-0.026672))
Transform(Location(x=-137.701797, y=13.560185, z=7.978605), Rotation(pitch=-3.033082, yaw=-179.615768, roll=-0.019958))
Transform(Location(x=-158.428452, y=13.428018, z=6.886472), Rotation(pitch=-2.969233, yaw=-179.630386, roll=-0.015900))
Transform(Location(x=-179.348312, y=13.293943, z=5.800972), Rotation(pitch=-2.962915, yaw=-179.654251, roll=-0.012451))
Transform(Location(x=-200.449722, y=13.176653, z=4.707039), Rotation(pitch=-2.963107, yaw=-179.872482, roll=0.007025))
Transform(Location(x=-221.720215, y=13.114990, z=3.605261), Rotation(pitch=-2.914701, yaw=-179.949982, roll=0.010780))
Transform(Location(x=-242.845001, y=13.091817, z=2.597749), Rotation(pitch=-2.595205, yaw=179.968597, roll=0.011108))
Transform(Location(x=-263.238861, y=13.095073, z=1.785864), Rotation(pitch=-2.191070, yaw=179.905991, roll=0.011204))
Transform(Location(x=-283.617645, y=13.117106, z=1.127703), Rotation(pitch=-1.835634, yaw=-179.959839, roll=-0.001648))
Transform(Location(x=-303.653870, y=13.040289, z=0.627764), Rotation(pitch=-1.314634, yaw=-179.476791, roll=-0.016937))
Transform(Location(x=-323.897858, y=12.910746, z=0.270425), Rotation(pitch=-0.864893, yaw=179.899872, roll=0.016725))
Transform(Location(x=-344.471313, y=13.177843, z=0.066297), Rotation(pitch=-0.199523, yaw=178.945175, roll=0.008407))
Transform(Location(x=-364.848969, y=13.500927, z=-0.000088), Rotation(pitch=0.005847, yaw=179.648056, roll=-0.007202))
Transform(Location(x=-385.444824, y=13.469822, z=-0.001999), Rotation(pitch=0.042047, yaw=-179.587997, roll=-0.002991))
Transform(Location(x=-405.487640, y=13.460140, z=0.001972), Rotation(pitch=-0.017827, yaw=179.576859, roll=0.012280))
Transform(Location(x=-425.668579, y=13.675186, z=0.002326), Rotation(pitch=-0.084073, yaw=178.462418, roll=0.039531))
Transform(Location(x=-445.755524, y=17.418055, z=0.001669), Rotation(pitch=0.027785, yaw=162.852875, roll=0.048234))
Transform(Location(x=-464.759949, y=24.182304, z=0.001763), Rotation(pitch=0.011721, yaw=153.736725, roll=0.160275))
Transform(Location(x=-481.098907, y=36.141113, z=0.001804), Rotation(pitch=0.004720, yaw=133.632889, roll=0.181198))
Transform(Location(x=-493.347290, y=52.482151, z=0.001820), Rotation(pitch=0.001960, yaw=119.608955, roll=0.135253))
Transform(Location(x=-501.643738, y=70.956985, z=0.001826), Rotation(pitch=0.001147, yaw=108.687164, roll=0.103328))
Transform(Location(x=-506.271393, y=90.913963, z=0.001833), Rotation(pitch=0.000000, yaw=95.127235, roll=0.165760))
