Transform(Location(x=202.180939, y=-312.689392, z=0.027406), Rotation(pitch=0.089742, yaw=91.048607, roll=-0.128540))
Transform(Location(x=202.176559, y=-312.451813, z=0.027601), Rotation(pitch=0.083724, yaw=91.055847, roll=-0.115662))
Transform(Location(x=202.172104, y=-312.212311, z=0.027782), Rotation(pitch=0.077263, yaw=91.063133, roll=-0.102325))
Transform(Location(x=202.167572, y=-311.970917, z=0.027956), Rotation(pitch=0.070658, yaw=91.070503, roll=-0.088959))
Transform(Location(x=202.162964, y=-311.727600, z=0.028129), Rotation(pitch=0.064033, yaw=91.077911, roll=-0.075653))
Transform(Location(x=202.158264, y=-311.482391, z=0.028276), Rotation(pitch=0.055850, yaw=91.085632, roll=-0.066742))
Transform(Location(x=202.153473, y=-311.235321, z=0.028377), Rotation(pitch=0.045373, yaw=91.093582, roll=-0.062775))
Transform(Location(x=202.148605, y=-310.986389, z=0.028439), Rotation(pitch=0.033263, yaw=91.101814, roll=-0.061859))
Transform(Location(x=202.143661, y=-310.735565, z=0.028475), Rotation(pitch=0.020313, yaw=91.110184, roll=-0.062103))
Transform(Location(x=202.138702, y=-310.482910, z=0.028498), Rotation(pitch=0.007069, yaw=91.118645, roll=-0.062561))
Transform(Location(x=202.133667, y=-310.228424, z=0.028506), Rotation(pitch=-0.005833, yaw=91.127144, roll=-0.062103))
Transform(Location(x=202.128571, y=-309.972076, z=0.028449), Rotation(pitch=-0.016017, yaw=91.135437, roll=-0.056641))
Transform(Location(x=202.123413, y=-309.713898, z=0.028348), Rotation(pitch=-0.024568, yaw=91.143631, roll=-0.049072))
Transform(Location(x=202.118164, y=-309.453918, z=0.028207), Rotation(pitch=-0.031706, yaw=91.151718, roll=-0.039520))
Transform(Location(x=202.112823, y=-309.192108, z=0.028045), Rotation(pitch=-0.038208, yaw=91.159775, roll=-0.029358))
Transform(Location(x=202.107422, y=-308.928528, z=0.027875), Rotation(pitch=-0.044499, yaw=91.167854, roll=-0.019012))
Transform(Location(x=202.101929, y=-308.663147, z=0.027703), Rotation(pitch=-0.050721, yaw=91.175941, roll=-0.008698))
Transform(Location(x=202.096344, y=-308.395935, z=0.027475), Rotation(pitch=-0.054505, yaw=91.184021, roll=-0.003296))
Transform(Location(x=202.090637, y=-308.126953, z=0.027190), Rotation(pitch=-0.056096, yaw=91.192055, roll=-0.001129))
Transform(Location(x=202.084885, y=-307.856171, z=0.026858), Rotation(pitch=-0.056096, yaw=91.200027, roll=-0.001099))
Transform(Location(x=202.079056, y=-307.583618, z=0.026502), Rotation(pitch=-0.055482, yaw=91.208015, roll=-0.001587))
Transform(Location(x=202.073135, y=-307.309265, z=0.026135), Rotation(pitch=-0.054744, yaw=91.216034, roll=-0.002136))
Transform(Location(x=202.067169, y=-307.033203, z=0.025766), Rotation(pitch=-0.054047, yaw=91.224106, roll=-0.002655))
Transform(Location(x=202.061111, y=-306.755432, z=0.025396), Rotation(pitch=-0.053433, yaw=91.232079, roll=-0.003113))
Transform(Location(x=202.055008, y=-306.475891, z=0.025029), Rotation(pitch=-0.052913, yaw=91.239922, roll=-0.003479))
Transform(Location(x=202.048828, y=-306.194641, z=0.024664), Rotation(pitch=-0.052524, yaw=91.247696, roll=-0.003815))
Transform(Location(x=202.042557, y=-305.911713, z=0.024301), Rotation(pitch=-0.052217, yaw=91.255287, roll=-0.004089))
Transform(Location(x=202.036224, y=-305.627075, z=0.023940), Rotation(pitch=-0.051971, yaw=91.262558, roll=-0.004303))
Transform(Location(x=202.029846, y=-305.340729, z=0.023580), Rotation(pitch=-0.051793, yaw=91.269409, roll=-0.004456))
Transform(Location(x=202.023392, y=-305.052704, z=0.023235), Rotation(pitch=-0.050782, yaw=91.275558, roll=-0.003510))
Transform(Location(x=202.016891, y=-304.763000, z=0.022932), Rotation(pitch=-0.047572, yaw=91.281151, roll=-0.002258))
Transform(Location(x=202.010330, y=-304.471649, z=0.022687), Rotation(pitch=-0.041780, yaw=91.286453, roll=-0.001801))
