Transform(Location(x=409.739258, y=-247.614792, z=0.001893), Rotation(pitch=-0.008606, yaw=-96.270020, roll=0.045806))
Transform(Location(x=406.738831, y=-267.530731, z=0.001716), Rotation(pitch=0.021399, yaw=-101.585228, roll=0.061913))
Transform(Location(x=401.181213, y=-286.943207, z=0.001889), Rotation(pitch=-0.008025, yaw=-111.784592, roll=0.120244))
Transform(Location(x=392.871948, y=-305.438324, z=0.001905), Rotation(pitch=-0.010833, yaw=-115.510201, roll=0.020087))
Transform(Location(x=382.710968, y=-323.355743, z=0.001890), Rotation(pitch=-0.008121, yaw=-124.910957, roll=0.085041))
Transform(Location(x=369.937988, y=-339.123627, z=0.001875), Rotation(pitch=-0.005772, yaw=-131.804428, roll=0.033528))
Transform(Location(x=355.663727, y=-353.366760, z=0.001869), Rotation(pitch=-0.004576, yaw=-138.630707, roll=0.048012))
Transform(Location(x=339.690216, y=-365.667297, z=0.001861), Rotation(pitch=-0.003449, yaw=-146.551132, roll=0.046644))
Transform(Location(x=322.030487, y=-375.925507, z=0.001800), Rotation(pitch=0.006939, yaw=-153.929428, roll=0.056283))
Transform(Location(x=302.838562, y=-383.596436, z=0.001802), Rotation(pitch=0.006598, yaw=-161.848434, roll=0.047468))
Transform(Location(x=283.313446, y=-388.814758, z=0.001813), Rotation(pitch=0.004890, yaw=-168.317291, roll=0.050566))
Transform(Location(x=262.891296, y=-391.860413, z=0.001850), Rotation(pitch=-0.001407, yaw=-174.869629, roll=0.051544))
Transform(Location(x=242.437378, y=-392.714966, z=0.001851), Rotation(pitch=-0.001496, yaw=-179.612396, roll=0.020966))
Transform(Location(x=222.184891, y=-392.780731, z=0.001848), Rotation(pitch=-0.001373, yaw=-179.604507, roll=-0.007416))
Transform(Location(x=202.095352, y=-392.905334, z=0.001847), Rotation(pitch=-0.001373, yaw=-179.845795, roll=0.003113))
Transform(Location(x=181.386429, y=-392.950378, z=0.001845), Rotation(pitch=-0.001373, yaw=-179.748901, roll=-0.003479))
Transform(Location(x=160.770325, y=-392.924255, z=0.001844), Rotation(pitch=-0.001373, yaw=179.228821, roll=0.012549))
Transform(Location(x=140.243683, y=-392.087555, z=0.001844), Rotation(pitch=-0.001407, yaw=175.282852, roll=0.046415))
Transform(Location(x=120.157242, y=-388.326904, z=0.001843), Rotation(pitch=-0.001223, yaw=164.821274, roll=0.030652))
Transform(Location(x=100.639038, y=-382.333313, z=0.001843), Rotation(pitch=-0.001161, yaw=159.338715, roll=0.052994))
Transform(Location(x=81.856316, y=-374.385681, z=0.001843), Rotation(pitch=-0.001161, yaw=153.987625, roll=0.049065))
Transform(Location(x=64.138573, y=-364.337738, z=0.001842), Rotation(pitch=-0.001161, yaw=146.868561, roll=0.052684))
Transform(Location(x=47.892361, y=-352.085358, z=0.001842), Rotation(pitch=-0.001161, yaw=139.296204, roll=0.049308))
Transform(Location(x=33.265221, y=-337.949432, z=0.001842), Rotation(pitch=-0.001161, yaw=132.609940, roll=0.047284))
Transform(Location(x=20.353516, y=-322.237732, z=0.001842), Rotation(pitch=-0.001161, yaw=126.160797, roll=0.046249))
Transform(Location(x=9.304020, y=-305.170868, z=0.001842), Rotation(pitch=-0.001161, yaw=119.398514, roll=0.053945))
Transform(Location(x=0.441624, y=-286.879150, z=0.001842), Rotation(pitch=-0.001161, yaw=112.492149, roll=0.047042))
Transform(Location(x=-6.257799, y=-267.690247, z=0.001842), Rotation(pitch=-0.001161, yaw=105.942650, roll=0.046972))
Transform(Location(x=-10.693003, y=-247.857986, z=0.001842), Rotation(pitch=-0.001161, yaw=99.121323, roll=0.050154))
Transform(Location(x=-12.753913, y=-227.273514, z=0.001557), Rotation(pitch=0.047367, yaw=92.446609, roll=0.050556))
Transform(Location(x=-13.151939, y=-206.386017, z=0.001430), Rotation(pitch=0.068930, yaw=90.246674, roll=0.012494))
Transform(Location(x=-13.304142, y=-186.349487, z=0.001395), Rotation(pitch=0.074784, yaw=90.769661, roll=-0.012329))
Transform(Location(x=-13.366026, y=-165.754349, z=0.001404), Rotation(pitch=0.073213, yaw=88.427582, roll=0.064693))
Transform(Location(x=-12.676114, y=-144.161362, z=0.001419), Rotation(pitch=0.070447, yaw=87.424011, roll=0.034724))
Transform(Location(x=-11.826207, y=-122.420845, z=0.001661), Rotation(pitch=0.029206, yaw=88.693741, roll=-0.041809))
Transform(Location(x=-11.467680, y=-102.403931, z=0.002022), Rotation(pitch=-0.031897, yaw=89.963364, roll=-0.056458))
Transform(Location(x=-11.371365, y=-81.596527, z=0.002042), Rotation(pitch=-0.035244, yaw=89.227303, roll=0.016279))
Transform(Location(x=-10.890870, y=-60.066116, z=0.001991), Rotation(pitch=-0.026645, yaw=87.515862, roll=0.052629))
Transform(Location(x=-9.987617, y=-39.548256, z=0.002072), Rotation(pitch=-0.040435, yaw=87.322662, roll=0.007015))
Transform(Location(x=-9.118134, y=-18.415722, z=0.002305), Rotation(pitch=-0.079961, yaw=88.235786, roll=-0.024017))
Transform(Location(x=-8.735231, y=2.483359, z=0.001863), Rotation(pitch=-0.004761, yaw=89.750496, roll=-0.023682))
Transform(Location(x=-8.685759, y=23.610031, z=0.001728), Rotation(pitch=0.018059, yaw=90.177429, roll=-0.012665))
